Package,N,A,Ce,Ca,I,D,post,IPIC ,IIPUD,IIPED,PF ,IPSC ,SLOC,pkgKLOC
com.sleepycat.db,7,0,0,1,0,1,0,0.985915493,1,1,1,0,16,0.016
lucli,2,0,10,0,0,1,0,1,0.210526316,1,0,0,475,0.475
org.apache.lucene,13,0,12,0,0,1,0,1,0.136507937,1,0,0,937,0.937
org.apache.lucene.analysis,40,0.142857143,10,51,0.163934426,0.693208431,6,0.281690141,0.183673469,0.75,0.189542484,0.481765865,2811,2.811
org.apache.lucene.analysis.br,3,0,5,0,0,1,0,1,0.571428571,1,0,0,862,0.862
org.apache.lucene.analysis.cjk,2,0,4,0,0,1,0,1,1,1,0,0,144,0.144
org.apache.lucene.analysis.cn,4,0,5,0,0,1,0,1,1,0.625,0,0,136,0.136
org.apache.lucene.analysis.compound,4,0.333333333,9,0,0,0.666666667,0,1,0.571428571,0.75,0,0,424,0.424
org.apache.lucene.analysis.compound.hyphenation,10,0.111111111,7,1,0.875,0.013888889,0,0.985915493,1,1,1,0,1252,1.252
org.apache.lucene.analysis.cz,1,0,5,0,0,1,0,1,0.583333333,1,0,0,74,0.074
org.apache.lucene.analysis.de,4,0,6,0,0,1,0,1,0.5625,0.666666667,0,0,327,0.327
org.apache.lucene.analysis.el,4,0,6,0,0,1,0,1,0.6,0.666666667,0,0,598,0.598
org.apache.lucene.analysis.fr,6,0,6,0,0,1,0,1,0.55,0.666666667,0,0,752,0.752
org.apache.lucene.analysis.miscellaneous,8,0,5,1,0.833333333,0.166666667,0,0.985915493,0.625,0.75,1,0,247,0.247
org.apache.lucene.analysis.ngram,8,0,5,0,0,1,2,1,1,0.666666667,0,0,574,0.574
org.apache.lucene.analysis.nl,4,0,5,0,0,1,0,1,0.583333333,1,0,0,485,0.485
org.apache.lucene.analysis.payloads,7,0,5,1,0.833333333,0.166666667,0,0.985915493,0.666666667,0.75,1,0,216,0.216
org.apache.lucene.analysis.query,2,0,10,0,0,1,0,1,0.215686275,0.75,0,0,189,0.189
org.apache.lucene.analysis.ru,8,0,5,0,0,1,0,1,1,0.625,0,0,1172,1.172
org.apache.lucene.analysis.shingle,6,0,13,0,0,1,0,1,0.146666667,0.625,0,0,1275,1.275
org.apache.lucene.analysis.sinks,6,0,6,0,0,1,0,1,1,0.75,0,0,195,0.195
org.apache.lucene.analysis.snowball,3,0,8,0,0,1,0,1,0.333333333,0.666666667,0,0,112,0.112
org.apache.lucene.analysis.standard,4,0,4,31,0.114285714,0.885714286,1,0.577464789,1,1,0.440860215,0.59962963,658,0.658
org.apache.lucene.analysis.th,3,0,8,0,0,1,0,1,0.571428571,0.666666667,0,0,101,0.101
org.apache.lucene.ant,11,0.375,14,0,0,0.625,0,1,0.226190476,0.75,0,0,547,0.547
org.apache.lucene.benchmark,5,1.5,5,2,0.714285714,1.214285714,0,0.971830986,0.75,1,0.625,0.3125,143,0.143
org.apache.lucene.benchmark.byTask,4,0,12,4,0.75,0.25,0,0.943661972,0.178571429,1,0.5,0.5625,951,0.951
org.apache.lucene.benchmark.byTask.feeds,19,0.357142857,13,4,0.764705882,0.121848739,0,0.957746479,0.171052632,1,0.40625,0.833333333,1377,1.377
org.apache.lucene.benchmark.byTask.programmatic,1,0,6,0,0,1,0,1,0.428571429,1,0,0,51,0.051
org.apache.lucene.benchmark.byTask.stats,3,0,4,2,0.666666667,0.333333333,0,0.971830986,0.75,1,0.833333333,0.5,139,0.139
org.apache.lucene.benchmark.byTask.tasks,38,0.085714286,14,4,0.777777778,0.136507937,0,0.943661972,0.125,1,0.340909091,0.345833333,1812,1.812
org.apache.lucene.benchmark.byTask.utils,4,0,7,6,0.538461538,0.461538462,0,0.915492958,0.625,1,0.416666667,0.657407407,529,0.529
org.apache.lucene.benchmark.quality,6,0.5,12,2,0.857142857,0.357142857,0,0.971830986,0.204081633,1,0.7,0.35,409,0.409
org.apache.lucene.benchmark.quality.trec,4,0,6,1,0.857142857,0.142857143,0,0.985915493,0.407407407,1,1,0,240,0.24
org.apache.lucene.benchmark.quality.utils,4,0,11,2,0.846153846,0.153846154,0,0.971830986,0.173611111,1,0.833333333,0.416666667,190,0.19
org.apache.lucene.benchmark.standard,3,0,14,1,0.933333333,0.066666667,0,1,0.133333333,1,1,0,419,0.419
org.apache.lucene.benchmark.stats,5,0,8,2,0.8,0.2,0,0.971830986,0.4375,1,0.625,0.3125,685,0.685
org.apache.lucene.benchmark.utils,2,0,7,0,0,1,0,1,0.444444444,1,0,0,238,0.238
org.apache.lucene.demo,6,0,11,2,0.846153846,0.153846154,0,0.971830986,0.16875,1,1,0.5,459,0.459
org.apache.lucene.demo.html,11,0.1,3,2,0.6,0.3,0,0.971830986,1,1,1,0.5,3324,3.324
org.apache.lucene.document,16,0.230769231,10,32,0.238095238,0.531135531,1,0.549295775,0.204081633,0.75,0.255681818,0.728610569,1311,1.311
org.apache.lucene.index,181,0.206666667,16,37,0.301886792,0.491446541,49,0.478873239,0.105339105,0.25,0.139139139,0.537667397,29514,29.514
org.apache.lucene.index.memory,7,0,15,1,0.9375,0.0625,1,0.985915493,0.163043478,0.666666667,1,0,2013,2.013
org.apache.lucene.index.store,1,0,8,0,0,1,0,1,0.230769231,1,0,0,150,0.15
org.apache.lucene.misc,10,0,11,0,0,1,0,1,0.191919192,0.5,0,0,858,0.858
org.apache.lucene.queryParser,12,0.2,11,20,0.35483871,0.44516129,0,0.718309859,0.191919192,1,0.533333333,0.760416667,3981,3.981
org.apache.lucene.queryParser.analyzing,3,0,8,0,0,1,0,1,0.325,0.555555556,0,0,265,0.265
org.apache.lucene.queryParser.precedence,9,0.285714286,10,0,0,0.714285714,0,1,0.244444444,1,0,0,2852,2.852
org.apache.lucene.queryParser.surround.parser,8,0.333333333,4,1,0.8,0.133333333,0,0.985915493,1,1,1,0,1687,1.687
org.apache.lucene.queryParser.surround.query,22,0.222222222,12,1,0.923076923,0.145299145,0,0.985915493,0.181818182,0.75,1,0,1177,1.177
org.apache.lucene.search,158,0.153284672,17,37,0.314814815,0.531900514,12,0.478873239,0.116666667,0.285714286,0.13981289,0.499670526,15675,15.675
org.apache.lucene.search.function,16,0.333333333,11,0,0,0.666666667,1,1,0.151515152,0.75,0,0,1364,1.364
org.apache.lucene.search.highlight,27,0.173913043,16,1,0.941176471,0.115089514,0,0.985915493,0.120454545,0.5,1,0,2796,2.796
org.apache.lucene.search.payloads,4,0,9,1,0.9,0.1,0,0.985915493,0.195402299,0.75,1,0,463,0.463
org.apache.lucene.search.regex,9,0.285714286,13,0,0,0.714285714,0,1,0.161458333,0.5,0,0,320,0.32
org.apache.lucene.search.similar,3,0,10,1,0.909090909,0.090909091,0,0.985915493,0.212962963,1,1,0,571,0.571
org.apache.lucene.search.spans,21,0.166666667,13,9,0.590909091,0.242424242,2,0.873239437,0.135135135,0.466666667,0.567901235,0.687242798,2538,2.538
org.apache.lucene.search.spell,14,0.166666667,10,0,0,0.833333333,1,1,0.210526316,0.75,0,0,793,0.793
org.apache.lucene.store,43,0.194444444,15,32,0.319148936,0.486406619,13,0.549295775,0.196428571,0.75,0.169921875,0.590779622,3352,3.352
org.apache.lucene.store.db,8,0,6,0,0,1,0,1,0.6,0.6,0,0,966,0.966
org.apache.lucene.store.instantiated,14,0,10,0,0,1,5,1,0.177142857,0.666666667,0,0,1752,1.752
org.apache.lucene.store.je,7,0,5,0,0,1,0,1,1,0.6,0,0,1003,1.003
org.apache.lucene.swing.models,14,0,15,0,0,1,0,1,0.230769231,0.555555556,0,0,903,0.903
org.apache.lucene.util,26,0.181818182,8,17,0.32,0.498181818,0,0.76056338,0.318181818,0.666666667,0.166666667,0.385063437,2820,2.82
org.apache.lucene.util.cache,4,0.333333333,3,1,0.75,0.083333333,0,0.985915493,1,1,1,0,140,0.14
org.apache.lucene.wikipedia.analysis,3,0,5,0,0,1,0,1,1,0.75,0,0,1355,1.355
org.apache.lucene.wordnet,3,0,9,0,0,1,0,1,0.21875,1,0,0,358,0.358
org.apache.lucene.xmlparser,11,0.222222222,18,1,0.947368421,0.169590643,0,0.985915493,0.149305556,1,1,0,841,0.841
org.apache.lucene.xmlparser.builders,24,0.090909091,11,1,0.916666667,0.007575758,0,0.985915493,0.166666667,1,1,0,833,0.833
org.apache.regexp,2,0,0,1,0,1,0,0.985915493,1,1,1,0,7,0.007
org.tartarus.snowball,3,0.5,3,2,0.6,0.1,0,0.971830986,1,1,0.75,0.5,418,0.418
org.tartarus.snowball.ext,19,0,2,0,0,1,0,1,1,1,0,0,17040,17.04
